Time_ms,Accel_X_G,Accel_Y_G,Accel_Z_G
0,-0.0379,0.0935,1.0439
10,-0.0043,-0.0772,0.9053
20,0.0017,-0.0680,0.9691
30,0.0732,0.0751,1.0043
40,-0.0964,0.0432,1.0497
50,0.0562,-0.0010,0.9612
60,0.0523,0.0657,1.0504
70,-0.0757,-0.0108,1.0689
80,-0.0902,-0.0071,1.0304
90,0.0390,0.0078,0.9439
100,-0.0596,-0.0484,0.9685
110,-0.0774,0.0220,0.9210
120,-0.0595,-0.0594,1.0000
130,0.0615,0.0288,0.9710
140,-0.0976,0.0577,1.0908
150,0.0104,-0.0619,1.0718
160,-0.0096,0.0703,0.9511
170,0.0331,0.0250,1.0526
180,-0.0159,0.0853,0.9373
190,0.0566,-0.0864,0.9973
200,-0.0182,-0.0843,0.9905
210,-0.0862,-0.0807,1.0854
220,-0.0099,0.0409,1.0148
230,0.0372,0.0368,1.0067
240,0.0563,-0.0936,1.0521
250,0.0714,0.0548,1.0685
260,0.0379,-0.0568,1.0077
270,0.0507,0.0107,1.0083
280,-0.0147,0.0393,0.9715
290,-0.0840,0.0309,1.0892
300,0.0109,-0.0960,0.9318
310,0.0761,0.0293,0.9320
320,-0.0610,0.0049,1.0783
330,0.0223,0.0914,0.9006
340,0.0014,-0.0481,0.9920
350,0.0026,-0.0366,0.9450
360,0.0626,0.0122,0.9407
370,0.0801,-0.0898,0.9132
380,0.0794,-0.0838,1.0226
390,0.0762,0.0639,1.0245
400,-0.0255,0.0890,1.0702
410,0.0301,0.0001,0.9049
420,-0.0425,-0.0990,0.9858
430,-0.0586,-0.0050,0.9448
440,0.0373,0.0368,1.0084
450,-0.0707,0.0100,1.0362
460,0.0179,0.0716,0.9406
470,-0.0206,0.0093,0.9506
480,0.0908,-0.0414,1.0153
490,0.0823,-0.0355,0.9478
500,-0.0908,0.0426,0.9512
510,-0.0072,-0.0759,0.9693
520,-0.0043,-0.0484,1.0165
530,-0.0038,0.0781,1.0402
540,0.0937,-0.0530,0.9630
550,0.0820,-0.0296,1.0842
560,0.0710,-0.0154,1.0205
570,-0.0064,-0.0562,0.9403
580,0.0714,0.0728,0.9167
590,-0.0607,-0.0098,0.9084
600,0.0129,-0.0488,1.0075
610,-0.0107,0.0011,1.0939
620,-0.0842,-0.0183,0.9382
630,0.0334,0.0490,0.9041
