Time_ms,Accel_X_G,Accel_Y_G,Accel_Z_G
0,0.0414,0.0531,0.9532
10,-0.0484,-0.0749,1.0692
20,0.0905,0.0922,1.0362
30,0.0501,0.0717,1.0693
40,0.0321,0.0264,0.9308
50,-0.0184,0.0528,0.9282
60,-0.0867,-0.0588,0.9602
70,-0.0361,-0.0641,0.9731
80,-0.0584,-0.0055,0.9097
90,-0.0435,0.0585,1.0252
100,0.0083,-0.0945,0.9608
110,-0.0282,-0.0985,0.9743
120,0.0568,-0.0040,0.9178
130,0.0529,-0.0074,0.9518
140,0.0989,0.0267,0.9134
150,0.0783,0.0820,0.9272
160,-0.0085,-0.0614,1.0468
170,-0.0113,0.0380,0.9976
180,0.0192,0.0558,0.9712
190,-0.0852,-0.0112,0.9346
200,0.0598,0.0527,1.0541
210,-0.0824,-0.0916,0.9999
220,-0.0535,-0.0796,0.9162
230,-0.0249,0.0263,1.0506
240,0.0913,0.0800,0.9705
250,-0.0402,0.0691,0.9943
260,0.0887,-0.0153,1.0154
270,-0.0756,0.0747,0.9986
280,-0.0337,-0.0366,0.9930
290,-0.0326,0.0348,1.0530
300,0.0263,0.0130,1.0196
310,-0.0586,0.0191,1.0320
320,-0.0366,-0.0928,1.0706
330,0.0670,0.0311,0.9197
340,0.0564,0.0491,1.0866
350,0.0060,0.0411,0.9689
360,-0.0195,-0.0450,0.9130
370,-0.0787,-0.0534,1.0113
380,0.0629,0.0405,1.0214
390,0.0511,0.0900,0.9163
400,-0.0825,0.0457,0.9366
410,0.0481,0.0303,1.0743
420,-0.0266,-0.0179,1.0405
430,0.0109,0.0328,0.9926
440,-0.0187,0.0378,0.9826
450,-0.0473,-0.0910,0.9142
460,-0.0703,0.0844,1.0392
470,0.0517,0.0310,0.9769
480,0.0866,0.0868,0.9869
490,-0.0801,0.0818,1.0171
500,-0.0789,0.0727,1.0122
510,-0.0164,-0.0944,0.9587
520,-0.0467,0.0216,1.0496
530,0.0249,0.0889,0.9745
540,-0.0800,-0.0762,0.9142
550,0.0699,0.0021,0.9028
560,0.0728,-0.0984,0.9915
570,0.0688,0.0188,0.9941
580,0.0485,-0.0804,0.9479
590,-0.0681,-0.0691,1.0484
600,0.0455,0.0839,1.0885
610,0.0385,-0.0307,0.9443
620,0.0095,0.0226,1.0146
630,-0.0399,-0.0221,1.0285
640,0.0674,-0.0747,0.9726
650,-0.0264,0.0315,1.0078
660,-0.0816,-0.0916,0.9860
670,0.0751,-0.0863,1.0607
680,-0.0467,-0.0288,1.0898
690,-0.0333,-0.0788,1.0370
700,0.0589,0.0814,1.0692
710,0.0920,0.0125,0.9889
720,0.0515,-0.0537,1.0863
730,-0.0401,0.0767,1.0664
740,-0.0958,0.0414,0.9760
750,0.0956,0.0394,0.9040
760,-0.0144,-0.0772,0.9139
770,-0.0383,0.0016,1.0340
780,-0.0495,-0.0317,0.9772
790,0.0950,-0.0022,0.9474
800,0.0940,-0.0132,1.0544
810,0.0177,-0.0314,1.0866
820,0.0940,-0.0572,1.0376
830,-0.0865,0.0378,1.0131
840,-0.0979,-0.0998,0.9135
850,-0.0458,0.0766,1.0009
860,-0.0812,-0.0926,0.9417
870,-0.0823,-0.0382,1.0900
880,-0.0945,0.0704,0.9224
890,-0.0737,-0.0160,1.0284
900,0.0090,0.0148,0.9993
910,0.0791,-0.0644,1.0009
920,0.0809,0.0144,1.0943
930,0.0571,0.0150,0.9200
940,-0.0670,-0.0893,0.9981
950,0.0611,-0.0163,0.9772
960,0.0350,0.0273,1.0849
970,-0.0926,0.0896,0.9469
980,-0.0536,0.0615,0.9352
990,-0.0642,0.0095,1.0027
1000,-0.0862,0.0443,0.9995
1010,0.0564,-0.0592,1.0573
1020,-0.0726,0.0843,1.0713
1030,-0.0339,0.0322,0.9111
1040,0.0497,0.0472,0.9277
1050,0.0093,0.0570,0.9159
1060,0.0598,0.0260,0.9092
1070,0.0845,0.0700,1.0554
1080,0.0234,-0.0904,1.0742
1090,0.0299,0.0583,1.0454
1100,0.0345,-0.0985,1.0521
1110,-0.0748,-0.0942,0.9066
1120,0.0077,-0.0289,1.0896
1130,0.0203,-0.0177,1.0810
1140,0.0682,0.0258,1.0959
1150,-0.0908,-0.0649,1.0138
1160,-0.0745,-0.0240,0.9098
1170,0.0728,0.0858,0.9442
1180,0.0078,0.0008,1.0826
1190,-0.0900,0.0723,0.9276
1200,-0.0120,-0.0022,1.0938
1210,0.0622,0.0430,0.9471
1220,-0.0036,-0.0154,0.9279
1230,0.0209,0.0080,0.9874
1240,-0.0014,0.0962,1.0214
1250,-0.0701,0.0163,1.0037
1260,-0.0822,0.0629,0.9602
1270,-0.0901,0.0723,0.9527
1280,-0.0197,0.0144,1.0418
1290,0.0204,0.0290,0.9422
1300,0.0809,-0.0124,0.9453
1310,0.0106,0.0428,1.0076
1320,0.0213,0.0074,1.0582
1330,-0.0702,-0.0687,0.9147
1340,-0.0833,-0.0321,0.9154
1350,0.0092,-0.0006,0.9349
1360,0.0170,0.0964,1.0674
1370,-0.0019,0.0210,0.9961
1380,0.0029,0.0156,0.9849
1390,0.0028,0.0146,0.9706
1400,-0.0686,-0.0177,1.0044
1410,-0.0816,-0.0851,1.0289
1420,-0.0508,0.0897,1.0713
1430,0.0061,-0.0531,0.9835
1440,-0.0698,0.0060,1.0135
1450,0.0163,-0.0603,1.0319
1460,-0.0104,-0.0604,1.0079
1470,-0.0232,-0.0056,1.0331
1480,-0.0543,-0.0793,1.0278
1490,0.0695,-0.0033,0.9079
1500,0.0847,0.0407,1.0524
1510,-0.0656,0.0530,1.0098
1520,-0.0419,-0.0743,1.0448
1530,-0.0561,0.0382,1.0925
1540,0.0975,-0.0133,0.9066
1550,-0.0349,-0.0898,1.0078
1560,0.0929,0.0011,1.0366
1570,0.0714,0.0919,1.0917
1580,0.0779,-0.0337,1.0648
1590,-0.0195,-0.0712,0.9206
1600,0.0937,0.0587,0.9620
1610,0.0193,0.0809,1.0380
1620,0.0494,0.0384,1.0529
1630,-0.0155,0.0645,1.0744
1640,-0.0778,-0.0507,1.0023
1650,-0.0012,-0.0525,0.9491
1660,-0.0457,-0.0888,0.9255
1670,0.0151,-0.0525,0.9622
1680,-0.0471,0.0159,0.9547
1690,-0.0114,-0.0707,1.0565
1700,-0.0141,0.0788,0.9175
1710,0.0420,0.0929,1.0063
1720,-0.0951,0.0690,1.0569
1730,0.0295,-0.0720,1.0020
1740,-0.0107,-0.0038,1.0456
1750,0.0770,-0.0309,1.0816
1760,-0.0938,0.0693,0.9859
1770,0.0085,0.0574,0.9701
1780,0.0974,0.0668,0.9473
1790,-0.0650,0.0215,1.0620
1800,-0.0209,0.0766,1.0745
1810,-0.0215,-0.0723,0.9608
1820,0.0054,-0.0156,1.0676
1830,0.0389,0.0329,0.9585
1840,-0.0441,0.0263,0.9725
1850,0.0738,-0.0126,1.0801
1860,-0.0473,0.0545,1.0441
1870,-0.0261,-0.0124,1.0688
1880,0.0478,0.0557,0.9292
1890,-0.0263,-0.0603,1.0373
1900,-0.0856,0.0571,1.0620
1910,0.0684,0.0691,1.0960
1920,0.0469,0.0511,0.9478
1930,-0.0332,-0.0896,0.9330
1940,-0.0964,-0.0829,0.9734
1950,-0.0638,0.0764,0.9961
1960,-0.0980,0.0889,0.9494
1970,0.0099,-0.0241,1.0194
1980,0.0122,-0.0322,1.0087
1990,0.0599,-0.0221,1.0835
2000,-14.6275,1.5366,-0.9826
2010,-14.7869,-0.5124,-0.4738
2020,-13.2689,-1.9927,3.3824
2030,-13.0848,1.8530,5.5395
2040,-16.1333,1.1682,-1.0047
2050,-13.4544,1.8447,-0.0784
2060,-14.5540,2.0801,2.0750
2070,-14.4455,-2.0475,-2.4945
2080,-15.2267,-2.5593,1.9285
2090,-13.9838,2.0689,-0.2311
2100,-16.4151,1.9069,4.0042
2110,-14.8526,0.2059,5.8470
2120,-16.4753,0.0692,-3.0093
2130,-16.1248,-1.5466,-0.1805
2140,-13.1236,-0.3260,-0.2898
2150,-16.4642,-0.4288,-2.9771
2160,0.0491,0.0050,0.9305
2170,0.0246,-0.0458,0.9239
2180,0.0026,-0.0690,0.9001
2190,-0.0383,0.0558,1.0368
2200,-0.0818,-0.0701,1.0232
2210,0.0396,0.0397,0.9405
2220,0.0528,0.0389,1.0846
2230,-0.0685,0.0937,0.9820
2240,-0.0791,-0.0023,1.0309
2250,-0.0629,0.0579,1.0386
2260,-0.0160,-0.0125,0.9937
2270,-0.0671,0.0313,1.0650
2280,0.0188,-0.0787,0.9075
2290,-0.0090,0.0539,1.0592
2300,0.0480,0.0272,1.0446
2310,-0.0547,-0.0563,0.9845
2320,0.0712,0.0685,1.0849
2330,-0.0752,0.0921,1.0115
2340,-0.0975,0.0980,0.9463
2350,-0.0305,0.0601,0.9587
2360,-0.0681,-0.0819,1.0796
2370,0.0062,-0.0548,1.0319
2380,0.0345,-0.0077,0.9419
2390,-0.0770,-0.0259,0.9183
2400,-0.0530,0.0241,0.9293
2410,-0.0190,-0.0237,0.9597
2420,-0.0412,-0.0596,0.9651
2430,-0.0341,-0.0849,0.9254
2440,0.0011,-0.0904,1.0894
2450,-0.0692,0.0803,1.0277
2460,0.0065,-0.0708,0.9381
2470,0.0772,0.0594,0.9425
2480,-0.0115,0.0954,1.0659
2490,0.0750,0.0389,0.9737
2500,-0.0151,-0.0781,0.9336
2510,-0.0735,0.0260,1.0472
2520,0.0192,0.0802,0.9242
2530,0.0509,-0.0405,1.0012
2540,0.0590,0.0816,1.0362
2550,-0.0037,-0.0840,0.9473
2560,0.0350,0.0886,1.0638
2570,0.0971,-0.0588,1.0700
2580,0.0054,-0.0556,0.9006
2590,0.0239,-0.0886,1.0392
2600,-0.0042,0.0400,1.0249
2610,0.0781,-0.0856,0.9751
2620,0.0900,-0.0924,0.9601
2630,-0.0507,0.0340,0.9016
2640,-0.0323,0.0861,1.0170
2650,-0.0392,0.0034,0.9096
2660,-0.0647,-0.0114,1.0586
2670,-0.0713,0.0568,0.9739
2680,0.0991,0.0837,0.9909
2690,-0.0591,0.0272,1.0198
2700,-0.0434,0.0602,0.9574
2710,-0.0044,0.0272,0.9743
2720,0.0636,-0.0974,0.9889
2730,0.0867,0.0580,1.0498
2740,-0.0732,0.0168,1.0696
2750,0.0932,-0.0542,0.9965
2760,-0.0229,0.0191,0.9862
2770,0.0195,0.0367,1.0466
2780,0.0631,-0.0360,0.9569
2790,-0.0136,-0.0794,0.9076
2800,0.0085,-0.0083,0.9983
2810,-0.0912,0.0144,1.0924
2820,-0.0426,0.0752,0.9162
2830,-0.0196,0.0663,0.9049
2840,0.0487,-0.0448,0.9130
2850,-0.0348,0.0212,1.0272
2860,-0.0121,0.0020,0.9900
2870,0.0053,-0.0582,0.9552
2880,-0.0601,-0.0525,1.0668
2890,-0.0133,-0.0475,1.0959
2900,0.0574,0.0834,0.9638
2910,-0.0880,0.0894,0.9554
2920,-0.0338,0.0770,0.9339
2930,-0.0081,0.0130,0.9779
2940,-0.0948,-0.0801,0.9557
2950,0.0997,0.0924,0.9993
2960,-0.0109,0.0697,0.9827
2970,0.0837,0.0359,0.9272
2980,-0.0829,-0.0792,0.9041
2990,0.0651,0.0150,1.0751
3000,-0.0469,-0.0348,0.9041
3010,-0.0079,-0.0872,0.9161
3020,-0.0387,0.0326,1.0009
3030,-0.0974,0.0770,1.0654
3040,-0.0542,0.0490,0.9978
3050,0.0339,-0.0082,1.0449
3060,-0.0674,0.0798,1.0749
3070,-0.0263,-0.0272,1.0843
3080,-0.0378,0.0736,1.0777
3090,-0.0446,-0.0629,0.9895
3100,-0.0758,0.0662,1.0263
3110,0.0211,-0.0227,0.9834
3120,0.0524,0.0309,1.0128
3130,0.0438,-0.0578,0.9016
3140,-0.0204,-0.0037,1.0425
3150,-0.0847,0.0016,0.9877
3160,0.0902,-0.0754,0.9496
3170,-0.0392,-0.0020,1.0781
3180,0.0298,-0.0939,0.9294
3190,0.0148,-0.0424,1.0775
3200,-0.0835,-0.0619,0.9870
3210,-0.0302,0.0640,1.0586
3220,-0.0234,0.0891,0.9774
3230,0.0220,0.0275,1.0107
3240,0.0278,0.0279,0.9196
3250,0.0368,-0.0361,1.0355
3260,-0.0733,-0.0816,1.0036
3270,-0.0978,-0.0619,0.9478
3280,0.0584,-0.0331,0.9212
3290,0.0286,-0.0631,1.0848
3300,-0.0108,-0.0507,0.9321
3310,0.0838,0.0499,0.9392
3320,0.0922,0.0599,1.0835
3330,0.0168,-0.0583,1.0905
3340,-0.0090,0.0239,1.0246
3350,-0.0193,0.0171,0.9845
3360,0.0021,0.0735,0.9309
3370,-0.0312,0.0080,0.9106
3380,-0.0757,-0.0711,1.0241
3390,0.0672,0.0841,0.9430
3400,-0.0466,0.0814,0.9131
3410,0.0609,0.0646,0.9048
3420,-0.0650,0.0332,0.9408
3430,0.0876,-0.0858,0.9711
3440,-0.0539,0.0148,1.0629
3450,0.0533,0.0833,0.9868
3460,0.0363,0.0128,1.0622
3470,0.0690,0.0647,0.9382
3480,0.0049,-0.0564,1.0139
3490,-0.0690,-0.0681,0.9593
3500,0.0185,0.0819,1.0110
3510,-0.0170,0.0401,1.0316
3520,-0.0569,-0.0840,0.9901
3530,-0.0710,-0.0408,1.0076
3540,0.0634,-0.0392,0.9974
3550,-0.0106,0.0878,1.0227
3560,-0.0322,-0.0035,1.0997
3570,0.0248,-0.0641,0.9349
3580,-0.0018,0.0154,1.0407
