Time_ms,Accel_X_G,Accel_Y_G,Accel_Z_G
0,-0.0469,-0.0772,1.0671
10,-0.0455,-0.0553,0.9461
20,0.0502,0.0907,1.0797
30,0.0066,0.0621,1.0711
40,-0.0309,0.0008,0.9370
50,0.0322,0.0014,1.0229
60,-0.0221,-0.0280,0.9316
70,-0.0217,-0.0971,1.0963
80,0.0645,-0.0177,1.0845
90,0.0396,-0.0944,1.0467
100,0.0738,-0.0737,1.0923
110,-0.0679,0.0562,1.0825
120,0.0361,0.0650,1.0297
130,-0.0963,0.0189,0.9588
140,-0.0418,-0.0943,0.9524
150,-0.0257,0.0155,0.9499
160,-0.0525,-0.0351,0.9832
170,0.0496,-0.0839,1.0714
180,-0.0610,0.0967,1.0485
190,0.0855,0.0435,1.0459
200,0.0080,-0.0811,0.9834
210,0.0790,-0.0506,0.9639
220,-0.0296,0.0024,0.9213
230,-0.0016,-0.0845,1.0683
240,-0.0875,0.0712,0.9191
250,-0.0735,-0.0079,1.0336
260,0.0229,0.0887,1.0701
270,0.0824,-0.0822,0.9510
280,0.0920,-0.0397,1.0255
290,-0.0069,-0.0856,1.0943
300,0.0089,-0.0486,1.0373
310,-0.0430,0.0344,1.0758
320,-0.0655,-0.0576,0.9758
330,-0.0661,-0.0288,0.9492
340,0.0718,-0.0843,0.9724
350,-0.0466,-0.0534,0.9864
360,-0.0788,-0.0445,1.0173
370,-0.0927,0.0577,1.0658
380,-0.0649,-0.0009,1.0409
390,0.0339,-0.0237,0.9160
400,-0.0467,-0.0194,1.0406
410,0.0206,0.0570,0.9310
420,-0.0881,-0.0229,1.0879
430,-0.0270,-0.0794,0.9826
440,-0.0904,-0.0240,1.0497
450,-0.0028,-0.0435,1.0255
460,0.0095,0.0413,1.0373
470,0.0845,-0.0128,0.9607
480,0.0446,0.0185,0.9397
490,-0.0493,0.0840,0.9094
500,0.0629,0.0198,0.9590
510,-0.0467,-0.0982,0.9254
520,0.0306,-0.0241,0.9563
530,-0.0507,0.0337,0.9945
540,-0.0936,0.0875,1.0768
550,-0.0855,0.0444,1.0948
560,0.0587,0.0222,0.9082
570,0.0374,0.0433,1.0988
580,-0.0822,0.0173,0.9931
590,-0.0758,0.0445,1.0106
600,0.0137,0.0772,0.9149
610,-0.0231,-0.0862,1.0679
620,-0.0136,0.0661,0.9781
630,-0.0027,-0.0325,0.9664
640,-0.0717,0.0587,1.0137
650,0.0171,-0.0235,1.0449
660,0.0194,-0.0806,1.0482
670,-0.0195,0.0502,1.0854
680,0.0393,0.0517,1.0216
690,0.0055,0.0321,0.9264
700,-0.0328,0.0036,1.0382
710,-0.0863,0.0760,1.0007
720,-0.0826,-0.0052,0.9848
730,-0.0955,0.0545,0.9554
740,-0.0368,-0.0493,0.9893
750,0.0543,-0.0265,1.0657
760,0.0023,0.0147,1.0559
770,-0.0452,-0.0552,0.9962
780,-0.0437,-0.0921,0.9146
790,-0.0954,-0.0191,1.0053
800,-0.0226,0.0799,1.0038
810,0.0335,0.0212,1.0699
820,-0.0325,0.0686,0.9795
830,-0.0032,0.0989,1.0705
840,-0.0762,0.0129,0.9902
850,0.0539,-0.0875,1.0113
860,-0.0027,0.0877,1.0777
870,0.0110,0.0586,0.9241
880,0.0233,0.0737,1.0718
890,-0.0677,-0.0009,1.0275
900,-0.0417,-0.0169,0.9398
910,0.0500,-0.0122,1.0045
920,0.0002,0.0592,1.0650
930,0.0406,-0.0654,1.0695
940,0.0602,0.0333,1.0402
950,-0.0278,-0.0754,0.9270
960,0.0364,0.0491,0.9418
970,-0.0895,0.0791,1.0809
980,-0.0100,0.0528,1.0655
990,-0.0755,-0.0192,1.0297
1000,0.0070,0.0130,1.0718
1010,0.0745,0.0246,0.9191
1020,-0.0006,0.0037,0.9822
1030,-0.0561,0.0924,1.0493
1040,-0.0928,-0.0791,0.9630
1050,-0.0980,0.0177,1.0982
1060,0.0207,0.0807,1.0638
1070,-0.0354,-0.0052,0.9629
1080,0.0592,0.0759,1.0007
1090,0.0374,0.0944,1.0060
1100,-0.0515,-0.0823,1.0881
1110,0.0613,0.0203,1.0456
1120,-0.0422,-0.0141,0.9079
1130,-0.0578,0.0410,1.0620
1140,-0.0684,0.0719,0.9193
1150,0.0655,0.0712,1.0677
1160,0.0393,0.0793,0.9195
1170,0.0276,0.0238,1.0459
1180,0.0423,0.0845,1.0935
1190,0.0827,-0.0279,0.9671
1200,0.0980,-0.0337,1.0810
1210,-0.0794,0.0153,1.0893
1220,-0.0968,0.0724,1.0628
1230,0.0927,-0.0774,1.0131
1240,-0.0966,-0.0590,1.0770
1250,0.0128,0.0276,0.9883
1260,-0.0605,-0.0875,0.9513
1270,-0.0835,0.0559,1.0989
1280,0.0549,0.0583,1.0719
1290,-0.0156,-0.0612,0.9769
1300,-0.0394,-0.0565,1.0233
1310,0.0881,0.0903,0.9315
1320,-0.0494,-0.0522,0.9103
1330,0.0356,-0.0827,1.0707
1340,0.0532,-0.0114,1.0418
1350,0.0959,0.0402,0.9353
1360,0.0901,-0.0028,1.0255
1370,0.0060,0.0569,0.9174
1380,-0.0046,0.0356,1.0557
1390,-0.0425,0.0084,1.0462
1400,-0.0254,-0.0676,1.0736
1410,0.0232,0.0078,0.9308
1420,-0.0288,-0.0428,0.9994
1430,-0.0139,0.0188,0.9290
1440,0.0152,0.0588,0.9419
1450,-0.0011,-0.0091,1.0833
1460,0.0620,-0.0710,1.0921
1470,-0.0485,-0.0049,1.0049
1480,0.0055,0.0719,0.9728
1490,0.0966,-0.0558,1.0014
1500,-0.0523,0.0721,1.0909
1510,0.0103,0.0364,1.0066
1520,-0.0897,-0.0239,1.0799
1530,0.0878,-0.0458,0.9862
1540,-0.0218,0.0008,0.9422
1550,-0.0065,0.0069,0.9257
1560,0.0138,-0.0681,1.0952
1570,0.0883,0.0578,0.9514
1580,-0.0082,-0.0627,1.0677
1590,0.0950,0.0012,1.0413
1600,0.0109,0.0051,0.9203
1610,0.0630,0.0813,0.9215
1620,0.0921,0.0863,1.0645
1630,-0.0503,-0.0195,1.0363
1640,0.0512,0.0634,1.0806
1650,0.0291,-0.0997,1.0428
1660,0.0478,0.0744,0.9412
1670,-0.0145,0.0426,0.9279
1680,0.0357,0.0664,1.0306
1690,-0.0843,-0.0867,1.0125
1700,-0.0594,0.0972,0.9827
1710,0.0546,0.0423,1.0018
1720,0.0809,-0.0486,1.0128
1730,-0.0596,0.0027,0.9947
1740,-0.0646,0.0107,0.9275
1750,0.0066,0.0881,0.9824
1760,0.0585,0.0063,1.0481
1770,-0.0515,0.0182,0.9628
1780,-0.0019,0.0282,0.9133
1790,0.0644,-0.0736,1.0729
1800,-0.0801,-0.0553,1.0062
1810,-0.0649,-0.0433,0.9150
1820,0.0354,-0.0937,0.9810
1830,-0.0555,-0.0530,1.0077
1840,-0.0414,-0.0022,0.9922
1850,-0.0128,-0.0468,0.9173
1860,0.0656,0.0549,0.9243
1870,0.0059,0.0096,0.9494
1880,-0.0305,-0.0596,1.0929
1890,-0.0549,-0.0564,1.0208
1900,-0.0882,-0.0926,1.0806
1910,0.0104,0.0669,0.9221
1920,0.0434,0.0088,0.9870
1930,0.0278,-0.0119,0.9800
1940,0.0414,-0.0002,0.9358
1950,-0.0676,-0.0506,1.0134
1960,-0.0545,0.0836,1.0796
1970,-0.0687,-0.0351,0.9122
1980,0.0348,0.0684,1.0137
1990,0.0460,0.0068,1.0043
2000,0.0114,-0.0477,0.9053
2010,0.0795,-0.0534,0.9325
2020,-0.0454,0.0839,0.9163
2030,0.0791,-0.0868,0.9285
2040,0.0857,0.0272,1.0072
2050,-0.0835,-0.0565,0.9442
2060,0.0629,0.0004,1.0557
2070,-0.0831,0.0349,1.0195
2080,-0.0835,-0.0765,0.9386
2090,-0.0958,-0.0125,0.9221
2100,0.0389,-0.0959,0.9052
2110,0.0033,-0.0882,1.0228
2120,-0.0754,0.0950,0.9139
2130,0.0506,-0.0121,1.0622
2140,-0.0734,-0.0387,1.0383
2150,0.0620,-0.0789,1.0213
2160,-0.0835,0.0903,0.9223
2170,-0.0315,-0.0960,0.9270
2180,0.0027,-0.0994,1.0125
2190,-0.0699,-0.0432,1.0808
2200,-0.0383,0.0252,0.9149
2210,-0.0692,-0.0816,1.0146
2220,0.0661,0.0782,0.9152
2230,0.0409,-0.0686,1.0314
2240,-0.0093,-0.0707,1.0136
2250,0.0118,-0.0182,1.0916
2260,-0.0131,0.0938,1.0869
2270,0.0511,0.0715,1.0261
2280,-0.0162,-0.0212,1.0168
2290,0.0859,-0.0332,0.9326
2300,-0.0923,0.0102,0.9295
2310,0.0342,0.0964,1.0469
2320,0.0511,0.0893,0.9647
2330,0.0439,-0.0632,1.0413
2340,0.0078,0.0613,1.0873
2350,-0.0893,-0.0583,0.9210
2360,-0.0330,-0.0554,1.0716
2370,0.0045,0.0841,0.9531
2380,0.0646,-0.0708,1.0348
2390,-0.0156,-0.0543,1.0190
2400,-0.0945,0.0840,0.9024
2410,-0.0115,0.0574,1.0717
2420,0.0502,0.0808,1.0315
2430,-0.0138,0.0063,1.0160
2440,-0.0158,-0.0977,1.0445
2450,0.0116,0.0639,1.0858
2460,0.0539,0.0435,1.0840
2470,-0.0809,0.0429,1.0169
2480,-0.0093,0.0586,0.9870
2490,-0.0522,0.0612,1.0147
2500,999.9900,-999.9900,1.0671
2510,0.0624,-0.0624,0.9128
2520,-0.0440,0.0616,0.9246
2530,-0.0028,-0.0779,1.0472
2540,-0.0721,0.0032,1.0851
2550,0.0226,-0.0082,0.9852
2560,-0.0470,0.0509,1.0269
2570,-0.0830,0.0295,1.0968
2580,0.0734,-0.0929,0.9328
2590,-0.0156,0.0559,0.9732
2600,0.0424,-0.0431,0.9213
2610,-0.0510,-0.0852,1.0541
2620,-0.0211,0.0679,1.0150
2630,0.0925,0.0117,1.0746
2640,-0.0220,-0.0434,1.0208
2650,-0.0222,-0.0260,1.0664
2660,-0.0091,0.0971,1.0773
