Time_ms,Accel_X_G,Accel_Y_G,Accel_Z_G
0,-0.0360,0.0523,0.9314
10,0.0430,0.0198,1.0679
20,-0.0331,0.0002,0.9899
30,-0.0127,0.0775,0.9316
40,-0.0359,-0.0610,1.0180
50,0.0606,0.0145,0.9720
60,0.0457,-0.0061,1.0129
70,0.0663,0.0753,0.9682
80,0.0022,-0.0563,1.0918
90,-0.0398,-0.0424,1.0305
100,0.0130,0.0646,0.9507
110,-0.0885,0.0592,0.9044
120,0.0626,0.0869,1.0508
130,-0.0366,0.0418,0.9731
140,0.0015,-0.0831,1.0671
150,0.0975,-0.0229,1.0517
160,-0.0205,-0.0175,1.0907
170,0.0629,-0.0222,0.9332
180,-0.0779,0.0217,1.0092
190,-0.0214,0.0000,1.0397
200,-0.0280,-0.0027,0.9102
210,0.0849,-0.0357,0.9212
220,-0.0027,0.0590,1.0062
230,0.0344,-0.0260,1.0897
240,0.0466,-0.0048,1.0093
250,0.0680,0.0003,0.9130
260,0.0565,0.0701,0.9933
270,0.0760,-0.0612,0.9188
280,-0.0744,0.0035,0.9461
290,-0.0716,0.0576,1.0657
300,-0.0230,0.0305,0.9608
310,-0.0563,0.0194,0.9022
320,-0.0761,0.0134,1.0184
330,-0.0613,0.0484,1.0954
340,0.0996,0.0724,0.9243
350,0.0104,-0.0398,0.9875
360,0.0500,-0.0530,0.9098
370,0.0400,0.0761,0.9789
380,0.0916,0.0852,1.0857
390,-0.0315,-0.0780,1.0742
400,0.0567,0.0871,1.0337
410,-0.0461,0.0585,1.0542
420,0.0943,0.0937,0.9042
430,0.0021,-0.0197,0.9609
440,-0.0854,0.0033,1.0096
450,-0.0671,-0.0898,1.0653
460,-0.0010,0.0834,0.9010
470,-0.0636,0.0109,1.0750
480,0.0174,-0.0230,1.0690
490,-0.0588,-0.0471,0.9522
500,0.0025,0.0395,0.9517
510,0.0444,0.0332,0.9237
520,-0.0284,-0.0284,0.9641
530,-0.0524,-0.0348,0.9912
540,0.0246,-0.0938,0.9385
550,-0.0348,-0.0926,0.9772
560,-0.0263,0.0985,0.9217
570,-0.0074,-0.0923,1.0512
580,-0.0671,-0.0062,1.0494
590,0.0222,0.0368,1.0719
600,0.0787,-0.0528,0.9162
610,-0.0858,-0.0001,0.9473
620,-0.0398,-0.0937,1.0437
630,0.0400,0.0661,1.0724
640,-0.0154,-0.0564,0.9880
650,-0.0752,0.0597,0.9431
660,0.0256,0.0491,0.9932
670,0.0817,0.0677,1.0291
680,-0.0824,-0.0824,0.9715
690,-0.0432,0.0482,0.9211
700,0.0494,0.0605,0.9513
710,0.0931,0.0550,0.9165
720,0.0196,-0.0227,1.0639
730,-0.0894,-0.0954,1.0081
740,0.0069,0.0204,0.9411
750,-0.0872,-0.0152,1.0250
760,0.0372,-0.0635,1.0352
770,0.0661,0.0082,0.9221
780,0.0828,-0.0362,0.9389
790,0.0896,0.0516,1.0583
800,0.0383,-0.0688,0.9119
810,-0.0239,0.0913,0.9633
820,-0.0552,-0.0203,1.0166
